

 #time =    0.0000000000000000     
-2.000000000000000E+001 -1.797693134862316E+308  0.000000000000000E+000  1.797693134862316E+308
-1.999342420025203E+001 -6.080910297315966E+004  0.000000000000000E+000  6.078910954895941E+004
-1.997801592436021E+001 -1.817498834310930E+004  0.000000000000000E+000  1.815501032718494E+004
-1.995396840015439E+001 -8.669682768828665E+003  0.000000000000000E+000  8.649728800428511E+003
-1.992150804302457E+001 -5.076063538397904E+003  0.000000000000000E+000  5.056142030354879E+003
-1.988093826193365E+001 -3.339601552071274E+003  0.000000000000000E+000  3.319720613809341E+003
-1.983263794222866E+001 -2.370027974838282E+003  0.000000000000000E+000  2.350195336896054E+003
-1.977705808695857E+001 -1.774189322873796E+003  0.000000000000000E+000  1.754412264786837E+003
-1.971471764621869E+001 -1.382119670909023E+003  5.536844298512257E-301  1.362404953262804E+003
-1.964619868390337E+001 -1.110578044221812E+003  5.102433456235892E-242  1.090931845537909E+003
-1.957214094749387E+001 -9.148873117922186E+002  1.590303359649061E-199  8.953151708447248E+002
-1.949323589671873E+001 -7.693218485621154E+002  6.465746817079587E-168  7.498286126653967E+002
-1.941022024841453E+001 -6.582187310294950E+002  8.636825160015278E-144  6.388085107810805E+002
-1.932386909841731E+001 -5.715974457854430E+002  5.570923906539665E-125  5.522735766870258E+002
-1.923498868492701E+001 -5.028496059248955E+002  4.724229351620290E-110  4.836146172399684E+002
-1.914440886100896E+001 -4.474508213427699E+002  5.058528458835218E-098  4.283064124817609E+002
-1.905297534656135E+001 -4.022114528803000E+002  3.369987125012633E-088  3.831584775337387E+002
-1.896154183211375E+001 -3.648278292399127E+002  4.419559365811562E-080  3.458662874077989E+002
-1.887096200819570E+001 -3.336066846253580E+002  2.660506867802244E-073  3.147357226171623E+002
-1.878208159470540E+001 -3.072901713487654E+002  1.378867812592667E-067  2.885080897540600E+002
-1.869573044470818E+001 -2.849391599547433E+002  9.839727935131328E-063  2.662434295100351E+002
-1.861271479640398E+001 -2.658509455140285E+002  1.373840107855912E-058  2.472382307176245E+002
-1.853380974562884E+001 -2.494985474213609E+002  4.884434833590541E-055  2.309647376757320E+002
-1.845975200921934E+001 -2.354849394930692E+002  5.393002444974306E-052  2.170251874838499E+002
-1.839123304690401E+001 -2.235085831520983E+002  2.150123239552849E-049  2.051173501051942E+002
-1.832889260616414E+001 -2.133379390508224E+002  3.475286862150848E-047  1.950090464446582E+002
-1.827331275089405E+001 -2.047931317608982E+002  2.491563648930048E-045  1.865198190100042E+002
-1.822501243118905E+001 -1.977331687156972E+002  8.502046629455495E-044  1.795081562845081E+002
-1.818444265009814E+001 -1.920473090938282E+002  1.459460051234922E-042  1.738628664437301E+002
-1.815198229296832E+001 -1.876494096495792E+002  1.315782003737626E-041  1.694974273566108E+002
-1.812793476876250E+001 -1.844743390046924E+002  6.436381420500507E-041  1.663464042359300E+002
-1.811252649287067E+001 -1.824759098886304E+002  1.748216203865258E-040  1.643633833957597E+002
-1.810595069312271E+001 -1.816314246555517E+002  2.666691518873723E-040  1.635254739624289E+002
-1.810595069312271E+001 -1.816314246555517E+002  2.666691518873723E-040  1.635254739624289E+002
-1.809937489337474E+001 -1.807918954333873E+002  4.057646734924573E-040  1.626925205400125E+002
-1.808396661748292E+001 -1.788439092508384E+002  1.074667360828735E-039  1.607599426333555E+002
-1.805991909327710E+001 -1.758564266710997E+002  4.786275118155161E-039  1.577965075778226E+002
-1.802745873614727E+001 -1.719228036430510E+002  3.421157324503648E-038  1.538953449069037E+002
-1.798688895505636E+001 -1.671604412816041E+002  3.700896103779603E-037  1.491735523265478E+002
-1.793858863535137E+001 -1.617037773415165E+002  5.665084766637480E-036  1.437651887061651E+002
-1.788300878008127E+001 -1.556969694564745E+002  1.141742511328851E-034  1.378139606763933E+002
-1.782066833934140E+001 -1.492870080826542E+002  2.814968884413742E-033  1.314663397433128E+002
-1.775214937702608E+001 -1.426176583608899E+002  7.901408035430327E-032  1.248655089838639E+002
-1.767809164061658E+001 -1.358244224282897E+002  2.359592079047751E-030  1.181463307876731E+002
-1.759918658984144E+001 -1.290305865870518E+002  7.048547617236808E-029  1.114313999972103E+002
-1.751617094153724E+001 -1.223443599495306E+002  1.995240743777210E-027  1.048281890079933E+002
-1.742981979154002E+001 -1.158570893347216E+002  5.113146310314754E-026  9.842726954318152E+001
-1.734093937804971E+001 -1.096425136407933E+002  1.143315748442390E-024  9.230157426274363E+001
-1.725035955413167E+001 -1.037569808285831E+002  2.168669628521761E-023  8.650662127445139E+001
