

 #time =    0.0000000000000000     
-2.000000000000000E+001 -1.797693134862316E+308  0.000000000000000E+000  1.797693134862316E+308
-1.990506835034454E+001 -4.193557875079116E+003  0.000000000000000E+000  4.173652806728771E+003
-1.969428744822842E+001 -1.288418636009463E+003  1.230788737856767E-280  1.268724348561235E+003
-1.939685653689886E+001 -6.431913545104703E+002  1.583096824927671E-140  6.237944979735714E+002
-1.905297534656135E+001 -4.022114528803000E+002  3.369987125012633E-088  3.831584775337387E+002
-1.870909415622385E+001 -2.882184998036232E+002  1.909340963775871E-063  2.695094056473993E+002
-1.841166324489429E+001 -2.269877184952131E+002  3.775536842997578E-050  2.085760552503188E+002
-1.820088234277816E+001 -1.943254109789696E+002  4.672062812159886E-043  1.761245286361915E+002
-1.810595069312271E+001 -1.816314246555517E+002  2.666691518873723E-040  1.635254739624289E+002
-1.810595069312271E+001 -1.816314246555517E+002  2.666691518873723E-040  1.635254739624289E+002
-1.801101904346725E+001 -1.699727663331766E+002  9.070229325317282E-038  1.519617472897094E+002
-1.780023814135112E+001 -1.472583095814153E+002  7.762469038524834E-033  1.294580714400642E+002
-1.750280723002157E+001 -1.213100588106927E+002  3.346500878437218E-027  1.038072515806711E+002
-1.715892603968406E+001 -9.824049513143689E+001  3.420448424350830E-022  8.108156909175283E+001
-1.681504484934656E+001 -8.078423479637485E+001  2.111843908738238E-018  6.396918994702829E+001
-1.651761393801700E+001 -6.908149478059045E+001  7.343101331896119E-016  5.256388084257344E+001
-1.630683303590088E+001 -6.226528724170406E+001  2.218197350219808E-014  4.595845420580318E+001
-1.621190138624542E+001 -5.952875439742207E+001  8.714264526811190E-014  4.331685301117665E+001
-1.621190138624542E+001 -5.952875439742207E+001  8.714264526811190E-014  4.331685301117665E+001
-1.611696973658996E+001 -5.697577861289066E+001  3.123218632443445E-013  4.085880887630070E+001
-1.590618883447384E+001 -5.189077553303571E+001  3.970057308433752E-012  3.598458669856188E+001
-1.560875792314428E+001 -4.586572909510850E+001  8.074562240204465E-011  3.025697117196422E+001
